CMTE_ID,COMMITTEE ID,S
CAND_ID,CANDIDATE ID,S
CAND_NM,CANDIDATE NAME,S
CONTBR_NM,CONTRIBUTOR NAME,S
CONTBR_CITY,CONTRIBUTOR CITY,S
CONTBR_ST,CONTRIBUTOR STATE,S
CONTBR_ZIP,CONTRIBUTOR ZIP CODE,S
CONTBR_EMPLOYER,CONTRIBUTOR EMPLOYER,S
CONTBR_OCCUPATION,CONTRIBUTOR OCCUPATION,S
CONTB_RECEIPT_AMT,CONTRIBUTION RECEIPT AMOUNT,N
CONTB_RECEIPT_DT,CONTRIBUTION RECEIPT DATE,D,
RECEIPT_DESC,RECEIPT DESCRIPTION,S
MEMO_CD,MEMO CODE,S
MEMO_TEXT,MEMO TEXT,S
FORM_TP,FORM TYPE,S
FILE_NUM,FILE NUMBER,N
TRAN_ID,TRANSACTION ID,S
ELECTION_TP,ELECTION TYPE/PRIMARY GENERAL INDICATOR, S
